Problem,QQN_Optimizer,NonQQN_Optimizer,Metric,Winner,Test_Statistic,P_Value,Significant,Effect_Size
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Trust Region-Standard,Computational_Cost,Trust Region-Standard,21.554503,0.001000,true,6.816
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,L-BFGS-Conservative,Final_Objective_Value,L-BFGS-Conservative,2.287862,0.010000,true,0.723
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,L-BFGS-Conservative,Computational_Cost,L-BFGS-Conservative,2.578084,0.010000,true,0.815
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,L-BFGS-MoreThuente,Final_Objective_Value,-,2.208239,0.050000,false,0.698
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,L-BFGS-MoreThuente,Computational_Cost,L-BFGS-MoreThuente,3.321077,0.001000,true,1.050
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Trust Region-Aggressive,Final_Objective_Value,QQN-Bisection-1,-18.829448,0.001000,true,5.954
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Trust Region-Aggressive,Computational_Cost,Trust Region-Aggressive,22.455448,0.001000,true,7.101
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Adam-WeightDecay,Final_Objective_Value,QQN-Bisection-1,-12.122614,0.001000,true,3.834
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Adam-WeightDecay,Computational_Cost,Adam-WeightDecay,13.807919,0.001000,true,4.366
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,L-BFGS,Final_Objective_Value,QQN-Bisection-1,-3.735506,0.001000,true,1.181
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,L-BFGS,Computational_Cost,L-BFGS,21.437761,0.001000,true,6.779
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,L-BFGS-Aggressive,Final_Objective_Value,QQN-Bisection-1,-4.776118,0.001000,true,1.510
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,L-BFGS-Aggressive,Computational_Cost,QQN-Bisection-1,-Inf,0.000000,true,4.036
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,GD-AdaptiveMomentum,Final_Objective_Value,-,-1.010146,0.500000,false,0.319
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,GD-AdaptiveMomentum,Computational_Cost,GD-AdaptiveMomentum,21.855106,0.001000,true,6.911
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Trust Region-Adaptive,Final_Objective_Value,QQN-Bisection-1,-17.516702,0.001000,true,5.539
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Trust Region-Adaptive,Computational_Cost,Trust Region-Adaptive,13.234336,0.001000,true,4.185
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Adam-Fast,Final_Objective_Value,QQN-Bisection-1,-2.513194,0.010000,true,0.795
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Adam-Fast,Computational_Cost,Adam-Fast,17.590867,0.001000,true,5.563
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Trust Region-Precise,Final_Objective_Value,QQN-Bisection-1,-3.651074,0.001000,true,1.155
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Trust Region-Precise,Computational_Cost,Trust Region-Precise,6.048401,0.001000,true,1.913
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Adam,Final_Objective_Value,QQN-Bisection-1,-3.467413,0.001000,true,1.096
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Adam,Computational_Cost,QQN-Bisection-1,-Inf,0.000000,true,0.101
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,GD,Final_Objective_Value,-,-1.945084,0.100000,false,0.615
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,GD,Computational_Cost,GD,4.516655,0.001000,true,1.428
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,L-BFGS-Limited,Final_Objective_Value,QQN-Bisection-1,-2.874278,0.010000,true,0.909
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,L-BFGS-Limited,Computational_Cost,-,0.465886,0.500000,false,0.147
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Trust Region-Conservative,Final_Objective_Value,QQN-Bisection-1,-4.086169,0.001000,true,1.292
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Trust Region-Conservative,Computational_Cost,-,-1.911109,0.100000,false,0.604
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,GD-Nesterov,Final_Objective_Value,-,-2.147901,0.050000,false,0.679
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,GD-Nesterov,Computational_Cost,GD-Nesterov,21.860716,0.001000,true,6.913
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,GD-WeightDecay,Final_Objective_Value,QQN-Bisection-1,-4.334137,0.001000,true,1.371
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,GD-WeightDecay,Computational_Cost,GD-WeightDecay,21.039295,0.001000,true,6.653
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,GD-Momentum,Final_Objective_Value,QQN-Bisection-1,-6.298814,0.001000,true,1.992
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,GD-Momentum,Computational_Cost,GD-Momentum,22.267985,0.001000,true,7.042
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Adam-Robust,Final_Objective_Value,QQN-Bisection-1,-12.618872,0.001000,true,3.990
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Adam-Robust,Computational_Cost,Adam-Robust,8.975078,0.001000,true,2.838
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Adam-AMSGrad,Final_Objective_Value,QQN-Bisection-1,-9.169116,0.001000,true,2.900
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-1,Adam-AMSGrad,Computational_Cost,Adam-AMSGrad,8.612504,0.001000,true,2.724
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-2,Trust Region-Standard,Final_Objective_Value,QQN-Bisection-2,-91.518284,0.001000,true,28.941
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-2,Trust Region-Standard,Computational_Cost,-,1.796608,0.100000,false,0.568
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-2,L-BFGS-Conservative,Final_Objective_Value,L-BFGS-Conservative,3.618958,0.001000,true,1.144
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-2,L-BFGS-Conservative,Computational_Cost,QQN-Bisection-2,-4.077097,0.001000,true,1.289
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-2,L-BFGS-MoreThuente,Final_Objective_Value,-,1.978534,0.050000,false,0.626
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-2,L-BFGS-MoreThuente,Computational_Cost,QQN-Bisection-2,-2.840846,0.010000,true,0.898
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-2,Trust Region-Aggressive,Final_Objective_Value,QQN-Bisection-2,-49.527154,0.001000,true,15.662
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-2,Trust Region-Aggressive,Computational_Cost,-,2.084132,0.050000,false,0.659
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-2,Adam-WeightDecay,Final_Objective_Value,QQN-Bisection-2,-18.228953,0.001000,true,5.765
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-2,Adam-WeightDecay,Computational_Cost,-,1.017317,0.500000,false,0.322
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-2,L-BFGS,Final_Objective_Value,QQN-Bisection-2,-3.746782,0.001000,true,1.185
IllConditionedRosenbrock_2D_alpha100,QQN-Bisection-2,L-BFGS,Computational_Cost,-,1.655850,0.100000,false,0.524
