Problem,QQN_Optimizer,NonQQN_Optimizer,Metric,Winner,Test_Statistic,P_Value,Significant,Effect_Size
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,Adam,Final_Objective_Value,QQN-Bisection-2,-21.610408,0.001000,true,6.833811
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,Adam,Computational_Cost,Adam,20.653974,0.001000,true,6.531360
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,L-BFGS-Aggressive,Final_Objective_Value,QQN-Bisection-2,-10.279654,0.001000,true,3.053517
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,L-BFGS-Aggressive,Computational_Cost,QQN-Bisection-2,-57.628417,0.001000,true,17.560805
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,Trust Region-Conservative,Final_Objective_Value,QQN-Bisection-2,-28.602811,0.001000,true,9.045003
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,Trust Region-Conservative,Computational_Cost,Trust Region-Conservative,46.748537,0.001000,true,14.783185
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,L-BFGS,Final_Objective_Value,QQN-Bisection-2,-6.481295,0.001000,true,2.049565
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,L-BFGS,Computational_Cost,-,-0.254243,0.500000,false,0.080399
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,Trust Region-Adaptive,Final_Objective_Value,-,-1.576008,0.100000,false,0.498378
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,Trust Region-Adaptive,Computational_Cost,Trust Region-Adaptive,47.380649,0.001000,true,14.983077
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,L-BFGS-Conservative,Final_Objective_Value,QQN-Bisection-2,-6.188267,0.001000,true,1.956902
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,L-BFGS-Conservative,Computational_Cost,QQN-Bisection-2,-7.979011,0.001000,true,2.523185
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,Adam-Fast,Final_Objective_Value,Adam-Fast,2.664133,0.010000,true,0.708024
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,Adam-Fast,Computational_Cost,Adam-Fast,40.990295,0.001000,true,9.392510
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,Adam-WeightDecay,Final_Objective_Value,QQN-Bisection-2,-10.734853,0.001000,true,3.394659
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,Adam-WeightDecay,Computational_Cost,Adam-WeightDecay,20.653974,0.001000,true,6.531360
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,Trust Region-Standard,Final_Objective_Value,QQN-Bisection-2,-2.540626,0.010000,true,0.803416
