Problem,ProblemFamily,Dimension,Optimizer,MeanFinalValue,MeanFinalValueSuccess,MeanFinalValueFail,StdFinalValue,BestValue,WorstValue,MeanIterations,MeanFunctionEvals,MeanFunctionEvalsSuccess,MeanFunctionEvalsFail,MeanGradientEvals,MeanGradientEvalsSuccess,MeanGradientEvalsFail,MeanTime,SuccessRate,NumRuns
LinearRegression_100samples_5features_reg0.01,ML Regression,5,QQN-Backtracking,7.154664e-2,NaN,7.154664e-2,2.954873e-14,7.154664e-2,7.154664e-2,12.0,83.0,NaN,83.0,69.0,NaN,69.0,0.027,0.000,20
LinearRegression_100samples_5features_reg0.01,ML Regression,5,Adam-Fast,2.175606e-1,NaN,2.175606e-1,4.285584e-2,7.255442e-2,2.649588e-1,40.4,83.8,NaN,83.8,82.8,NaN,82.8,0.028,0.000,40
LinearRegression_100samples_5features_reg0.01,ML Regression,5,L-BFGS,1.379613e-1,NaN,1.379613e-1,1.610786e-1,7.154664e-2,7.274554e-1,26.6,187.8,NaN,187.8,110.2,NaN,110.2,0.050,0.000,20
LinearRegression_100samples_5features_reg0.01,ML Regression,5,QQN-GoldenSection,7.154664e-2,NaN,7.154664e-2,1.074682e-9,7.154664e-2,7.154665e-2,10.2,328.1,NaN,328.1,58.6,NaN,58.6,0.064,0.000,60
LinearRegression_100samples_5features_reg0.01,ML Regression,5,Trust Region-Conservative,1.566457e1,NaN,1.566457e1,1.164297e0,1.339793e1,1.789196e1,199.0,602.0,NaN,602.0,402.0,NaN,402.0,0.156,0.000,20
LinearRegression_100samples_5features_reg0.01,ML Regression,5,QQN-StrongWolfe,7.154664e-2,NaN,7.154664e-2,4.535767e-14,7.154664e-2,7.154664e-2,12.9,111.3,NaN,111.3,119.3,NaN,119.3,0.042,0.000,20
LinearRegression_100samples_5features_reg0.01,ML Regression,5,GD-WeightDecay,7.154667e-2,NaN,7.154667e-2,2.515013e-10,7.154667e-2,7.154667e-2,162.5,164.5,NaN,164.5,327.0,NaN,327.0,0.085,0.000,20
LinearRegression_100samples_5features_reg0.01,ML Regression,5,QQN-CubicQuadraticInterpolation,7.154664e-2,NaN,7.154664e-2,4.214794e-10,7.154664e-2,7.154664e-2,13.6,133.6,NaN,133.6,126.5,NaN,126.5,0.046,0.000,40
LinearRegression_100samples_5features_reg0.01,ML Regression,5,Adam,1.373152e1,NaN,1.373152e1,8.200584e-1,1.202866e1,1.501121e1,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.167,0.000,20
LinearRegression_100samples_5features_reg0.01,ML Regression,5,QQN-Bisection-1,7.154664e-2,NaN,7.154664e-2,2.309086e-14,7.154664e-2,7.154664e-2,9.0,124.5,NaN,124.5,156.0,NaN,156.0,0.049,0.000,40
