Problem,QQN_Optimizer,NonQQN_Optimizer,Metric,Winner,Test_Statistic,P_Value,Significant,Effect_Size
Barrier_10D_mu0.1,QQN-Bisection-2,L-BFGS,Computational_Cost,-,0.000000,1.000000,false,0.000000
Levy_2D,QQN-CubicQuadraticInterpolation,L-BFGS-Conservative,Final_Objective_Value,-,-1.717784,0.100000,false,0.543211
Levy_2D,QQN-CubicQuadraticInterpolation,L-BFGS-Conservative,Computational_Cost,QQN-CubicQuadraticInterpolation,-25.323260,0.001000,true,5.665385
Levy_2D,QQN-CubicQuadraticInterpolation,Adam,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-21.389599,0.001000,true,6.763985
Levy_2D,QQN-CubicQuadraticInterpolation,Adam,Computational_Cost,QQN-CubicQuadraticInterpolation,-19.782252,0.001000,true,4.423446
Levy_2D,QQN-CubicQuadraticInterpolation,Adam-Fast,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-102.302711,0.001000,true,22.875582
Levy_2D,QQN-CubicQuadraticInterpolation,Adam-Fast,Computational_Cost,Adam-Fast,25.530630,0.001000,true,5.708822
Levy_2D,QQN-CubicQuadraticInterpolation,GD-Momentum,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-30.391183,0.001000,true,9.610536
Levy_2D,QQN-CubicQuadraticInterpolation,GD-Momentum,Computational_Cost,GD-Momentum,25.100177,0.001000,true,5.613242
Levy_2D,QQN-CubicQuadraticInterpolation,Adam-WeightDecay,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-10.370359,0.001000,true,3.279395
Levy_2D,QQN-CubicQuadraticInterpolation,Adam-WeightDecay,Computational_Cost,QQN-CubicQuadraticInterpolation,-19.782252,0.001000,true,4.423446
Levy_2D,QQN-CubicQuadraticInterpolation,GD-Nesterov,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-21.160271,0.001000,true,6.691465
Levy_2D,QQN-CubicQuadraticInterpolation,GD-Nesterov,Computational_Cost,GD-Nesterov,25.100177,0.001000,true,5.613242
Levy_2D,QQN-CubicQuadraticInterpolation,L-BFGS-Aggressive,Final_Objective_Value,-,-1.929440,0.100000,false,0.431436
Levy_2D,QQN-CubicQuadraticInterpolation,L-BFGS-Aggressive,Computational_Cost,QQN-CubicQuadraticInterpolation,-17.254274,0.001000,true,3.858173
